    A  B  C  D  E  F  G  H  I
 1  .  .  .  .  .  .  .  .  .
 2  .  .  .  .  .  .  .  .  .
 3  .  .  .  .  .  .  .  .  .
 4  .  .  .  .  .  .  .  .  .
 5  .  .  .  .  .  .  .  .  .
 6  .  .  .  .  .  .  .  .  .
 7  .  .  .  .  .  .  .  .  .
 8  .  .  .  .  .  .  .  .  .
 9  .  .  .  .  .  .  .  .  .

    A  B  C  D  E  F  G  H  I
 1  _  _  _  _  _  _  _  _  _
 2  _  1  1  1  1  1  1  _  _
 3  1  2  *  1  1  *  2  1  _
 4  *  3  2  1  1  2  *  1  _
 5  2  *  2  1  1  1  1  1  _
 6  1  2  3  *  1  _  1  1  1
 7  _  1  *  3  2  1  2  *  1
 8  _  1  2  *  1  1  *  2  1
 9  _  _  1  1  1  1  1  1  _
