    A  B  C  D  E  F  G  H  I  J  K  L  M  N  O  P
 1  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 2  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 3  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 4  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 5  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 6  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 7  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 8  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 9  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
10  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
11  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
12  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
13  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
20  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
21  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
22  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
23  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
24  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
25  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
26  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
27  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
28  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
29  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
30  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .

    A  B  C  D  E  F  G  H  I  J  K  L  M  N  O  P
 1  1  *  2  1  1  1  2  *  1  1  2  2  1  _  1  *
 2  1  1  2  *  1  1  *  2  2  2  *  *  2  1  1  1
 3  1  1  2  1  1  1  1  1  2  *  4  3  *  1  _  _
 4  1  *  1  _  _  1  1  1  2  *  2  1  1  1  1  1
 5  1  2  2  1  1  2  *  2  3  2  2  _  1  1  2  *
 6  _  1  *  1  1  *  3  *  4  *  2  _  1  *  2  1
 7  _  1  2  2  2  1  2  3  *  *  3  2  3  2  1  _
 8  1  1  2  *  1  _  _  2  *  3  2  *  *  2  _  _
 9  1  *  2  1  2  1  1  2  3  3  2  3  *  3  1  1
10  1  1  1  _  2  *  2  1  *  *  1  1  1  2  *  1
11  1  1  1  _  2  *  2  1  2  2  1  _  _  2  2  2
12  1  *  1  _  1  1  1  _  1  1  1  _  1  2  *  1
13  1  2  2  1  _  _  _  _  1  *  1  1  2  *  2  1
14  _  2  *  2  _  1  1  1  1  1  1  1  *  2  1  _
15  _  2  *  3  1  1  *  1  _  1  1  3  2  3  1  1
16  _  1  2  *  1  1  1  1  _  2  *  3  *  2  *  1
17  1  1  1  1  2  1  1  _  _  2  *  4  2  2  2  2
18  *  2  1  _  1  *  3  2  1  1  2  *  1  _  1  *
19  2  *  1  _  1  2  *  *  2  1  1  1  2  1  2  1
20  2  2  1  _  _  1  2  3  *  1  _  _  1  *  2  1
21  *  1  _  _  _  _  _  1  1  1  _  _  1  1  2  *
22  1  1  1  2  2  2  1  1  _  _  _  1  1  1  1  1
23  _  _  2  *  *  2  *  1  _  _  _  1  *  1  _  _
24  1  1  2  *  3  2  1  1  _  _  _  1  1  1  1  1
25  *  1  1  1  1  _  _  _  _  _  _  _  _  1  3  *
26  1  1  _  _  _  _  1  1  1  _  _  _  _  1  *  *
27  1  1  1  _  _  _  1  *  2  2  2  1  _  1  3  *
28  1  *  1  _  _  _  1  1  2  *  *  1  _  _  1  1
29  2  2  2  _  _  1  1  1  1  3  3  2  _  _  _  _
30  1  *  1  _  _  1  *  1  _  1  *  1  _  _  _  _
