    A  B  C  D  E  F  G  H  I  J  K  L  M  N  O  P
 1  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 2  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 3  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 4  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 5  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 6  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 7  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 8  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
 9  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
10  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
11  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
12  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
13  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .

    A  B  C  D  E  F  G  H  I  J  K  L  M  N  O  P
 1  1  2  2  *  1  1  *  1  _  _  _  _  _  _  _  _
 2  *  2  *  3  2  1  1  1  _  _  _  _  _  _  _  _
 3  2  4  4  *  2  _  _  _  _  _  _  _  1  1  1  _
 4  *  3  *  *  2  _  _  _  _  _  _  _  2  *  2  _
 5  *  4  4  3  2  _  _  _  _  _  _  _  2  *  2  _
 6  3  *  3  *  1  1  2  2  1  1  1  1  1  1  1  _
 7  2  *  3  1  1  1  *  *  1  1  *  2  1  1  _  _
 8  1  1  1  _  _  2  3  3  1  1  1  2  *  1  1  1
 9  1  2  2  1  _  1  *  1  _  _  _  1  1  1  1  *
10  1  *  *  1  _  1  2  2  1  _  _  1  1  1  1  1
11  1  2  2  1  _  _  1  *  2  1  _  1  *  1  _  _
12  _  _  _  _  _  _  1  2  *  1  _  1  1  1  _  _
13  _  _  _  _  _  _  _  1  1  2  1  1  _  1  1  1
14  _  _  _  _  1  1  1  _  _  1  *  1  _  1  *  1
15  _  _  _  _  2  *  3  1  _  1  1  1  _  1  1  1
16  _  _  _  _  2  *  *  1  _  _  _  _  _  _  _  _
